PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5F7,Stockport PCT,0.0048,0.0396,0.0448,0.9450,0.9098,0.9582,0.8262,0.9342,0.9325,0.8413,0.8205,0.8511,0.5800,0.3129,0.6740,0.9405,0.4666,0.7985,0.4026,0.4887,0.2359
5.00E+01,Stockton-On-Tees Teaching PCT,0.0045,0.0361,0.0416,0.9348,0.9111,0.9484,0.8073,0.9424,0.9245,0.8575,0.8706,0.8863,0.6462,0.2543,0.6032,0.9154,0.4507,0.7844,0.3786,0.4521,0.1977
5PJ,Stoke On Trent PCT,0.0039,0.0510,0.0553,0.9336,0.9090,0.9602,0.4850,0.9290,0.9075,0.7885,0.8411,0.8931,0.3494,0.3022,0.6366,0.9185,0.4460,0.8088,0.3824,0.4677,0.2146
5PT,Suffolk PCT,0.0046,0.0374,0.0427,0.9382,0.9078,0.9542,0.7529,0.9343,0.9135,0.8476,0.8583,0.8835,0.5981,0.1877,0.5900,0.9253,0.4076,0.7728,0.3503,0.4347,0.1775
5KL,Sunderland Teaching PCT,0.0046,0.0441,0.0491,0.9497,0.9294,0.9621,0.8504,0.9548,0.9438,0.8754,0.8866,0.9250,0.7121,0.3212,0.6793,0.9276,0.4592,0.8035,0.3858,0.5029,0.2322
5P5,Surrey PCT,0.0039,0.0347,0.0393,0.9179,0.8790,0.9425,0.7530,0.9234,0.9073,0.8326,0.8307,0.8101,0.5412,0.2997,0.6736,0.9365,0.3902,0.7754,0.3560,0.4313,0.2042
5M7,Sutton And Merton PCT,0.0038,0.0397,0.0439,0.9044,0.8699,0.9358,0.7121,0.9010,0.8950,0.8629,0.8376,0.7791,0.5120,0.2191,0.6339,0.9215,0.3941,0.7952,0.3645,0.4447,0.2028
5K3,Swindon PCT,0.0043,0.0388,0.0435,0.9197,0.8954,0.9466,0.2925,0.9321,0.9112,0.8020,0.8268,0.8569,0.2153,0.1736,0.5346,0.8753,0.4418,0.7816,0.3598,0.4262,0.1730
5LH,Tameside And Glossop PCT,0.0041,0.0445,0.0490,0.9434,0.9055,0.9512,0.8212,0.9420,0.9321,0.8418,0.8370,0.8646,0.6143,0.2439,0.6806,0.9289,0.4677,0.8125,0.3875,0.4786,0.2347
5MK,Telford And Wrekin PCT,0.0041,0.0416,0.0462,0.9071,0.8701,0.9348,0.7358,0.9107,0.8905,0.8532,0.7985,0.8121,0.5288,0.2850,0.6524,0.9181,0.4133,0.7787,0.3292,0.4382,0.1886
TAL,Torbay Care Trust,0.0050,0.0469,0.0538,0.8911,0.8737,0.9361,0.7007,0.9191,0.8972,0.7838,0.8122,0.6317,0.4039,0.3285,0.6235,0.9204,0.4194,0.7920,0.3352,0.4135,0.1758
5C4,Tower Hamlets PCT,0.0028,0.0477,0.0508,0.9393,0.9311,0.9598,0.7684,0.8962,0.8882,0.7745,0.8992,0.9208,0.5914,0.1961,0.5652,0.8894,0.5181,0.8262,0.5011,0.5840,0.2585
5NR,Trafford PCT,0.0039,0.0406,0.0451,0.9319,0.9180,0.9612,0.7091,0.9261,0.9193,0.8445,0.8471,0.8617,0.5478,0.2541,0.6712,0.9396,0.4388,0.7951,0.4094,0.4961,0.2490
5N3,Wakefield District PCT,0.0043,0.0434,0.0483,0.9516,0.9214,0.9718,0.8015,0.9406,0.9244,0.8846,0.8649,0.8801,0.6160,0.2283,0.6251,0.9227,0.4208,0.7942,0.3682,0.4451,0.2008
5M3,Walsall Teaching PCT,0.0044,0.0578,0.0627,0.9328,0.8900,0.9576,0.8274,0.9364,0.9266,0.7548,0.8656,0.8627,0.5510,0.2951,0.6338,0.9209,0.4401,0.7966,0.3480,0.4290,0.1935
5NC,Waltham Forest PCT,0.0030,0.0427,0.0472,0.8918,0.8973,0.9401,0.7720,0.9105,0.9000,0.8007,0.8519,0.7662,0.5036,0.2432,0.6069,0.8949,0.3745,0.7569,0.3236,0.4166,0.1686
5LG,Wandsworth PCT,0.0030,0.0319,0.0352,0.9206,0.8967,0.9471,0.7751,0.9188,0.9085,0.8495,0.8622,0.8217,0.5835,0.2231,0.6114,0.9145,0.4055,0.7848,0.3791,0.4554,0.2028
5J2,Warrington PCT,0.0042,0.0413,0.0460,0.9216,0.8837,0.9512,0.7831,0.9269,0.9059,0.8569,0.8475,0.7898,0.5474,0.3903,0.7184,0.9450,0.4465,0.8060,0.3636,0.4536,0.2299
5PM,Warwickshire PCT,0.0041,0.0383,0.0430,0.9319,0.8904,0.9570,0.5542,0.9370,0.9270,0.8263,0.8467,0.8675,0.4039,0.2135,0.6217,0.9217,0.3788,0.7657,0.3492,0.4344,0.1831
5PV,West Essex PCT,0.0037,0.0400,0.0451,0.9052,0.8911,0.9542,0.6787,0.9281,0.9107,0.8029,0.8334,0.8409,0.4960,0.2596,0.6454,0.9190,0.3793,0.7731,0.3643,0.4470,0.2025
5P9,West Kent PCT,0.0043,0.0363,0.0413,0.9150,0.8836,0.9467,0.5871,0.9107,0.8919,0.7996,0.8270,0.8352,0.4216,0.2829,0.6494,0.9296,0.3833,0.7650,0.3238,0.4120,0.1757
5P6,West Sussex PCT,0.0043,0.0396,0.0446,0.9203,0.8812,0.9411,0.7215,0.8985,0.8999,0.8214,0.8275,0.8113,0.5009,0.2070,0.6369,0.9283,0.3936,0.7704,0.3579,0.4276,0.1957
5NN,Western Cheshire PCT,0.0042,0.0394,0.0440,0.9442,0.9163,0.9612,0.7733,0.9441,0.9303,0.8119,0.8656,0.8830,0.5890,0.2684,0.6903,0.9399,0.4615,0.8029,0.4142,0.4937,0.2491
5LC,Westminster PCT,0.0031,0.0320,0.0359,0.9069,0.8799,0.9420,0.7225,0.9098,0.9056,0.7601,0.8240,0.8405,0.5045,0.2668,0.6454,0.9179,0.4225,0.7883,0.3776,0.4660,0.2121
5QK,Wiltshire PCT,0.0042,0.0375,0.0425,0.9277,0.8926,0.9512,0.7158,0.9439,0.9261,0.8223,0.8466,0.8362,0.5012,0.2296,0.6154,0.9295,0.3968,0.7835,0.3611,0.4358,0.1910
5NK,Wirral PCT,0.0045,0.0439,0.0486,0.9355,0.9161,0.9539,0.7630,0.9247,0.9225,0.8103,0.8409,0.8841,0.5574,0.2889,0.7162,0.9446,0.4122,0.7812,0.3710,0.4873,0.2180
5MV,Wolverhampton City PCT,0.0050,0.0543,0.0595,0.9449,0.9261,0.9590,0.8773,0.9527,0.9439,0.8386,0.8874,0.8404,0.6338,0.1962,0.5583,0.9036,0.3609,0.7355,0.3334,0.4181,0.1500
5PL,Worcestershire PCT,0.0045,0.0414,0.0472,0.9361,0.9000,0.9543,0.5269,0.9407,0.9231,0.8156,0.8494,0.8811,0.4021,0.2528,0.6602,0.9348,0.3966,0.7658,0.3611,0.4426,0.2031
