PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5HX,Ealing PCT,0.0037,0.0439,0.0484,0.9097,0.8589,0.9390,0.7506,0.9125,0.9082,0.8412,0.8420,0.8292,0.5512,0.2064,0.5791,0.8963,0.4204,0.7755,0.3698,0.4538,0.1873
5NH,East Lancashire Teaching PCT,0.0039,0.0418,0.0459,0.9408,0.9127,0.9433,0.7406,0.9378,0.9203,0.8716,0.8334,0.8653,0.5730,0.2084,0.6127,0.9135,0.3945,0.7617,0.4028,0.4849,0.2091
5NW,East Riding Of Yorkshire PCT,0.0046,0.0443,0.0512,0.9530,0.9193,0.9681,0.8409,0.9585,0.9385,0.8702,0.8700,0.9113,0.6853,0.2829,0.6691,0.9396,0.3864,0.7610,0.3675,0.4437,0.2032
5P7,East Sussex Downs And Weald PCT,0.0038,0.0399,0.0440,0.9177,0.8704,0.9410,0.6536,0.9007,0.9111,0.7934,0.8367,0.8497,0.4562,0.2803,0.6792,0.9352,0.3888,0.7730,0.3660,0.4472,0.2121
5QA,Eastern And Coastal Kent PCT,0.0046,0.0433,0.0483,0.9277,0.8954,0.9482,0.8042,0.9338,0.9222,0.8305,0.8481,0.8527,0.6000,0.3168,0.6816,0.9324,0.3715,0.7695,0.3525,0.4354,0.2046
5C1,Enfield PCT,0.0030,0.0462,0.0501,0.9081,0.8957,0.9497,0.7976,0.9205,0.9113,0.7682,0.8356,0.8548,0.5552,0.3083,0.6586,0.9099,0.4042,0.7969,0.3431,0.4145,0.2062
5KF,Gateshead PCT,0.0042,0.0442,0.0487,0.9597,0.9254,0.9665,0.8560,0.9570,0.9482,0.8730,0.8441,0.9385,0.6937,0.3355,0.6880,0.9258,0.4108,0.7773,0.3898,0.4894,0.2325
5QH,Gloucestershire PCT,0.0042,0.0419,0.0466,0.9374,0.9063,0.9555,0.8176,0.9476,0.9283,0.7948,0.8405,0.8615,0.5868,0.3099,0.6601,0.9265,0.4044,0.7581,0.3570,0.4351,0.1951
5PR,Great Yarmouth And Waveney PCT,0.0046,0.0465,0.0514,0.9359,0.8829,0.9458,0.7310,0.9312,0.9111,0.8811,0.8490,0.8785,0.5987,0.1788,0.5756,0.9097,0.3568,0.7381,0.3296,0.4399,0.1553
5A8,Greenwich Teaching PCT,0.0031,0.0368,0.0408,0.9243,0.9286,0.9551,0.7978,0.9191,0.9148,0.8089,0.8526,0.8609,0.5924,0.2399,0.5999,0.8895,0.3480,0.7333,0.3665,0.4391,0.1836
5NM,Halton And St Helens PCT,0.0045,0.0499,0.0547,0.9421,0.9144,0.9602,0.8448,0.9352,0.9239,0.8646,0.8556,0.8714,0.6213,0.3880,0.7063,0.9319,0.4673,0.8177,0.3804,0.4779,0.2442
5H1,Hammersmith And Fulham PCT,0.0035,0.0290,0.0337,0.8866,0.8826,0.9378,0.6459,0.8896,0.8857,0.6794,0.7871,0.8309,0.4159,0.3236,0.6521,0.9094,0.4048,0.7779,0.3817,0.4549,0.2184
5QC,Hampshire PCT,0.0042,0.0377,0.0423,0.9201,0.8898,0.9476,0.7259,0.9195,0.9098,0.8271,0.8441,0.8430,0.5352,0.2403,0.6067,0.9191,0.4007,0.7771,0.3372,0.4201,0.1715
5C9,Haringey Teaching PCT,0.0028,0.0403,0.0437,0.8905,0.8869,0.9424,0.7248,0.8998,0.8942,0.7660,0.8286,0.8128,0.4948,0.2857,0.6269,0.8931,0.3997,0.7633,0.3634,0.4320,0.1989
5K6,Harrow PCT,0.0028,0.0568,0.0603,0.9245,0.8903,0.9487,0.8157,0.9310,0.9205,0.8550,0.8426,0.8043,0.5865,0.1825,0.6283,0.9273,0.3816,0.7753,0.3697,0.4465,0.2050
5D9,Hartlepool PCT,0.0053,0.0377,0.0432,0.9359,0.9066,0.9584,0.7960,0.9434,0.9306,0.8195,0.8462,0.8094,0.5612,0.2752,0.6166,0.9156,0.3844,0.7534,0.4003,0.4847,0.2118
5P8,Hastings And Rother PCT,0.0051,0.0477,0.0530,0.9458,0.9220,0.9656,0.8208,0.9529,0.9427,0.8390,0.8917,0.8878,0.6548,0.2725,0.6725,0.9319,0.4182,0.7920,0.3584,0.4509,0.2068
5A4,Havering PCT,0.0043,0.0387,0.0449,0.9075,0.8938,0.9499,0.6448,0.9190,0.9081,0.8054,0.8278,0.7963,0.4402,0.2376,0.6383,0.9189,0.4223,0.8135,0.2818,0.3872,0.1614
5MX,Heart Of Birmingham Teaching PCT,0.0032,0.0647,0.0691,0.9322,0.9267,0.9549,0.7991,0.9375,0.9318,0.7290,0.8768,0.8668,0.5361,0.2301,0.6236,0.8974,0.4036,0.7528,0.3851,0.4630,0.2090
5CN,Herefordshire PCT,0.0042,0.0443,0.0488,0.9527,0.9074,0.9642,0.8447,0.9548,0.9370,0.8493,0.8644,0.9054,0.6600,0.2706,0.6807,0.9346,0.3917,0.7521,0.3064,0.3883,0.1761
5QV,Hertfordshire PCT,0.0042,0.0337,0.0384,0.9227,0.8980,0.9509,0.7161,0.9266,0.9096,0.8445,0.8469,0.8423,0.5306,0.2837,0.6550,0.9306,0.3878,0.7766,0.3559,0.4295,0.1985
5NQ,"Heywood, Middleton And Rochdale PCT",0.0039,0.0444,0.0486,0.9243,0.9005,0.9443,0.7097,0.9312,0.9177,0.7963,0.8487,0.9017,0.5435,0.2079,0.6213,0.9192,0.4156,0.7799,0.3546,0.4421,0.1931
5AT,Hillingdon PCT,0.0038,0.0425,0.0468,0.9024,0.8938,0.9406,0.7781,0.9012,0.8961,0.8614,0.8336,0.8116,0.5567,0.2350,0.5865,0.9194,0.4643,0.8056,0.3657,0.4232,0.1959
5HY,Hounslow PCT,0.0038,0.0444,0.0489,0.6454,0.8773,0.9324,0.6939,0.9025,0.8972,0.7544,0.8114,0.7693,0.3097,0.1978,0.5874,0.9056,0.3989,0.7749,0.3593,0.4286,0.1809
5NX,Hull Teaching PCT,0.0048,0.0406,0.0486,0.9468,0.9149,0.9667,0.8324,0.9551,0.9368,0.8039,0.8590,0.8790,0.6017,0.3420,0.6706,0.9213,0.3621,0.7432,0.3294,0.4005,0.1781
5QT,Isle Of Wight NHS PCT,0.0048,0.0426,0.0478,0.9245,0.8955,0.9520,0.7524,0.9343,0.8979,0.7345,0.8295,0.8414,0.4726,0.1965,0.6192,0.9196,0.4141,0.7708,0.3664,0.4450,0.1856
5K8,Islington PCT,0.0033,0.0353,0.0389,0.9031,0.8947,0.9394,0.7912,0.9103,0.9050,0.4546,0.8375,0.8480,0.3441,0.3017,0.6529,0.9110,0.3866,0.7525,0.4230,0.5048,0.2286
5LA,Kensington And Chelsea PCT,0.0031,0.0278,0.0317,0.8967,0.9120,0.9405,0.6788,0.8946,0.8859,0.7733,0.8332,0.7601,0.4274,0.2772,0.6340,0.9121,0.4032,0.7845,0.3897,0.4765,0.2089
5A5,Kingston PCT,0.0030,0.0340,0.0376,0.9114,0.8649,0.9337,0.6370,0.9105,0.9059,0.8023,0.8421,0.8063,0.4525,0.2894,0.6764,0.9394,0.3373,0.7367,0.3346,0.4232,0.1817
